CURVE,X,Y
1878,1,0.7
1878,10,6.5
1878,20,13.1
1878,30,19.6
1878,40,26.2
1878,60,39.2
1878,70,45.8
1878,80,52.3
1878,90,58.9
1878,110,71.9
1878,120,78.5
1878,130,85
1878,140,91.6
1878,160,104.6
1878,170,111.2
1878,180,117.7
1878,190,124.3
1878,210,137.3
1878,220,143.9
1878,230,150.4
1878,240,157
1878,260,170
1878,270,176.6
1878,280,183.1
1878,290,189.7
1878,299,195.5
4473,0,0.7
4473,1,0.7
4473,10,6.5
4473,20,13.1
4473,30,19.6
4473,40,26.2
4473,60,39.2
4473,70,45.8
4473,80,52.3
4473,90,58.9
4473,110,71.9
4473,120,78.5
4473,130,85
4473,140,91.6
4473,160,104.6
4473,170,111.2
4473,180,117.7
4473,190,124.3
4473,210,137.3
4473,220,143.9
4473,230,150.4
4473,240,157
4473,260,170
4473,270,176.6
4473,280,183.1
4473,290,189.7
4473,299,195.5
3265,0,0.7
3265,1,0.7
3265,10,6.5
3265,20,13.1
3265,30,19.6
3265,40,26.2
3265,60,39.2
3265,70,45.8
3265,80,52.3
3265,90,58.9
3265,110,71.9
3265,120,78.5
3265,130,85
3265,140,91.6
3265,160,104.6
3265,170,111.2
3265,180,117.7
3265,190,124.3
3265,210,137.3
3265,220,143.9
3265,230,150.4
3265,240,157
3265,260,170
3265,270,176.6
3265,280,183.1
3265,290,189.7
3265,299,195.5
4521,0,0.7
4521,1,0.7
4521,10,6.5
4521,20,13.1
4521,30,19.6
4521,40,26.2
4521,60,39.2
4521,70,45.8
4521,80,52.3
4521,90,58.9
4521,110,71.9
4521,120,78.5
4521,130,85
4521,140,91.6
4521,160,104.6
4521,170,111.2
4521,180,117.7
4521,190,124.3
4521,210,137.3
4521,220,143.9
4521,230,150.4
4521,240,157
4521,260,170
4521,270,176.6
4521,280,183.1
4521,290,189.7
4521,299,195.5
3840,0,0.7
3840,1,0.7
3840,10,6.5
3840,20,13.1
3840,30,19.6
3840,40,26.2
3840,60,39.2
3840,70,45.8
3840,80,52.3
3840,90,58.9
3840,110,71.9
3840,120,78.5
3840,130,85
3840,140,91.6
3840,160,104.6
3840,170,111.2
3840,180,117.7
3840,190,124.3
3840,210,137.3
3840,220,143.9
3840,230,150.4
3840,240,157
3840,260,170
3840,270,176.6
3840,280,183.1
3840,290,189.7
3840,299,195.5
901,0,0.7
901,1,0.7
901,10,6.5
901,20,13.1
901,30,19.6
901,40,26.2
901,60,39.2
901,70,45.8
901,80,52.3
901,90,58.9
901,110,71.9
901,120,78.5
901,130,85
901,140,91.6
901,160,104.6
901,170,111.2
901,180,117.7
901,190,124.3
901,210,137.3
901,220,143.9
901,230,150.4
901,240,157
901,260,170
901,270,176.6
901,280,183.1
901,290,189.7
901,299,195.5
2003,0,0.7
2003,1,0.7
2003,10,6.5
2003,20,13.1
2003,30,19.6
2003,40,26.2
2003,60,39.2
2003,70,45.8
2003,80,52.3
2003,90,58.9
2003,110,71.9
2003,120,78.5
2003,130,85
2003,140,91.6
2003,160,104.6
2003,170,111.2
2003,180,117.7
2003,190,124.3
2003,210,137.3
2003,220,143.9
2003,230,150.4
2003,240,157
2003,260,170
2003,270,176.6
2003,280,183.1
2003,290,189.7
2003,299,195.5
524,0,0.7
524,1,0.7
524,10,6.5
524,20,13.1
524,30,19.6
524,40,26.2
524,60,39.2
524,70,45.8
524,80,52.3
524,90,58.9
524,110,71.9
524,120,78.5
524,130,85
524,140,91.6
524,160,104.6
524,170,111.2
524,180,117.7
524,190,124.3
524,210,137.3
524,220,143.9
524,230,150.4
524,240,157
524,260,170
524,270,176.6
524,280,183.1
524,290,189.7
524,299,195.5
707,0,0.7
707,1,0.7
707,10,7.1
707,20,14.3
707,30,21.4
707,40,28.6
707,60,42.8
707,70,50
707,80,57.1
707,90,64.3
707,110,78.5
707,120,85.7
707,130,92.8
707,140,100
707,160,114.2
707,170,121.4
707,180,128.5
707,190,135.7
707,210,149.9
707,220,157.1
707,230,164.2
707,240,171.4
707,260,185.6
707,270,192.8
707,280,199.9
707,290,207.1
707,299,213.5
4730,0,0.7
4730,1,0.7
4730,10,7.1
4730,20,14.3
4730,30,21.4
4730,40,28.6
4730,60,42.8
4730,70,50
4730,80,57.1
4730,90,64.3
4730,110,78.5
4730,120,85.7
4730,130,92.8
4730,140,100
4730,160,114.2
4730,170,121.4
4730,180,128.5
4730,190,135.7
4730,210,149.9
4730,220,157.1
4730,230,164.2
4730,240,171.4
4730,260,185.6
4730,270,192.8
4730,280,199.9
4730,290,207.1
4730,299,213.5
4092,0,0.7
4092,1,0.7
4092,10,7.1
4092,20,14.3
4092,30,21.4
4092,40,28.6
4092,60,42.8
4092,70,50
4092,80,57.1
4092,90,64.3
4092,110,78.5
4092,120,85.7
4092,130,92.8
4092,140,100
4092,160,114.2
4092,170,121.4
4092,180,128.5
4092,190,135.7
4092,210,149.9
4092,220,157.1
4092,230,164.2
4092,240,171.4
4092,260,185.6
4092,270,192.8
4092,280,199.9
4092,290,207.1
4092,299,213.5
41,0,0.7
41,1,0.7
41,10,7.1
41,20,14.3
41,30,21.4
41,40,28.6
41,60,42.8
41,70,50
41,80,57.1
41,90,64.3
41,110,78.5
41,120,85.7
41,130,92.8
41,140,100
41,160,114.2
41,170,121.4
41,180,128.5
41,190,135.7
41,210,149.9
41,220,157.1
41,230,164.2
41,240,171.4
41,260,185.6
41,270,192.8
41,280,199.9
41,290,207.1
