CURVE,X,Y
203,170,198.3
203,180,206.3
203,190,213.1
203,200,219.4
203,210,225.2
203,220,230.6
203,230,235.5
203,240,240
203,250,244.1
203,260,247.8
203,270,251
203,280,254
203,290,256.5
216,99,0
216,100,208.9
216,110,237.1
216,120,262.4
216,130,284.1
216,140,303.1
216,150,321.5
216,160,339.7
216,170,355.9
216,180,370.2
216,190,382.5
216,200,393.8
216,210,404.2
216,220,413.9
216,230,422.7
216,240,430.8
216,250,438.2
216,260,444.7
216,270,450.5
216,280,455.9
216,290,460.4
204,99,0
204,100,182
204,110,206.7
204,120,228.7
204,130,247.6
204,140,264.1
204,150,280.2
204,160,296
204,170,310.2
204,180,322.6
204,190,333.4
204,200,343.1
204,210,352.3
204,220,360.7
204,230,368.4
204,240,375.4
204,250,381.9
204,260,387.5
204,270,392.6
204,280,397.3
204,290,401.2
161,99,0
161,100,222.7
161,110,252
161,120,278.1
161,130,300.1
161,140,320
161,150,339.8
161,160,358.6
161,170,375.2
161,180,389.5
161,190,402.3
161,200,414.1
161,210,425.2
161,220,435.2
161,230,444.3
161,240,452.7
161,250,460.1
161,260,466.9
161,270,473.2
161,280,478.4
161,290,483.2
205,99,0
205,100,298.4
205,110,338.8
205,120,374.9
205,130,405.9
205,140,433
205,150,459.3
205,160,485.2
205,170,508.5
205,180,528.9
205,190,546.5
205,200,562.5
205,210,577.5
205,220,591.3
205,230,603.9
205,240,615.4
205,250,626
205,260,635.3
205,270,643.6
205,280,651.3
205,290,657.7
150,99,0
150,100,318.1
150,110,360
150,120,397.2
150,130,428.7
150,150,485.5
150,160,512.3
150,170,536
150,180,556.5
150,190,574.7
150,200,591.6
150,210,607.4
150,220,621.7
150,230,634.8
150,240,646.8
150,250,657.3
150,260,667
150,270,676
150,280,683.5
150,290,690.3
149,99,0
149,100,260.8
149,110,295.2
149,120,325.7
149,130,351.5
149,150,398.1
149,160,420.1
149,170,439.5
149,180,456.3
149,190,471.3
149,200,485.1
149,210,498.1
149,220,509.8
149,230,520.5
149,240,530.4
149,250,539
149,260,546.9
149,270,554.3
149,280,560.5
149,290,566
36,99,0
36,100,128.4
36,110,142.6
36,120,155.9
36,130,168.1
36,140,179
153,99,0
153,200,0
153,201,1
41,99,0
41,140,0
41,141,1
152,99,0
152,120,0
152,121,1
152,200,1
152,201,0
40,99,0
40,120,0
40,121,1
40,140,1
40,141,0
37,99,0
37,100,641.9
37,110,713
37,120,779.7
37,130,840.6
37,140,895.2
35,99,0
35,100,449.3
35,110,499.1
35,120,545.8
35,130,588.4
35,140,626.7
34,99,0
34,100,64.2
34,110,71.3
34,120,78
34,130,84.1
34,140,89.5
12,0,350
327,0,350
327,10,739
327,20,716
327,30,701
327,40,694
327,60,686
327,70,679
327,80,669
327,100,647
327,110,634
327,120,620
327,130,605
327,140,589
327,150,575
327,160,563
327,170,552
327,180,542
327,190,530
327,200,519
327,210,509
327,220,500
29,0,350
29,10,841
29,20,794
29,30,775
29,40,770
29,50,766
29,60,760
29,70,751
29,80,741
29,90,730
29,100,716
