TRACK,BEGIN,END,TREATMENT,MANUAL,NEWTRACK,ADJUST,OFFSET,RETAIN,CURVE,CYCLE,ELIGIBILITY
58,70,999,CC,false,55,A,0,0,,0,
58,74,74,F3,false,59,R,0,0,,0,
59,70,999,CC,false,55,A,0,0,,0,
61,70,999,CC,false,12,A,0,0,,0,
63,80,999,CC,false,64,A,0,0,,0,
64,80,999,CC,false,64,A,0,0,,0,
67,80,999,CC,false,67,A,0,0,,0,
69,70,999,CC,false,69,A,0,0,,0,
71,80,999,CC,false,72,A,0,0,,0,
72,80,999,CC,false,72,A,0,0,,0,
74,70,999,CC,false,74,A,0,0,,0,
74,40,40,CT,false,75,R,0,0,,0,
75,70,999,CC,false,74,A,0,0,,0,
75,51,51,F1,false,76,R,0,0,,0,
76,70,999,CC,false,74,A,0,0,,0,
76,61,61,F2,false,77,R,0,0,,0,
77,70,999,CC,false,74,A,0,0,,0,
77,71,71,F3,false,78,R,0,0,,0,
78,70,999,CC,false,74,A,0,0,,0,
80,70,999,CC,false,80,A,0,0,,0,
82,80,999,CC,false,83,A,0,0,,0,
83,80,999,CC,false,83,A,0,0,,0,
85,100,999,CC,false,86,A,0,0,,0,
86,100,999,CC,false,86,A,0,0,,0,
86,40,40,CT,false,87,R,0,0,,0,
87,100,999,CC,false,86,A,0,0,,0,
87,66,66,F1,false,88,R,0,0,,0,
88,100,999,CC,false,86,A,0,0,,0,
88,76,76,F2,false,89,R,0,0,,0,
89,100,999,CC,false,86,A,0,0,,0,
89,86,86,F3,false,90,R,0,0,,0,
90,100,999,CC,false,86,A,0,0,,0,
92,90,999,CC,false,93,A,0,0,,0,
93,90,999,CC,false,93,A,0,0,,0,
93,40,40,CT,false,94,R,0,0,,0,
94,90,999,CC,false,93,A,0,0,,0,
94,56,56,F1,false,95,R,0,0,,0,
95,90,999,CC,false,93,A,0,0,,0,
95,66,66,F2,false,96,R,0,0,,0,
96,90,999,CC,false,93,A,0,0,,0,
96,76,76,F3,false,97,R,0,0,,0,
97,90,999,CC,false,93,A,0,0,,0,
99,100,999,CC,false,100,A,0,0,,0,
100,100,999,CC,false,100,A,0,0,,0,
102,90,999,CC,false,103,A,0,0,,0,
103,90,999,CC,false,103,A,0,0,,0,
106,100,999,CC,false,107,A,0,0,,0,
107,100,999,CC,false,107,A,0,0,,0,
109,70,999,CC,false,109,A,0,0,,0,
111,80,999,CC,false,25,A,0,0,,0,
113,90,999,CC,false,113,A,0,0,,0,
113,40,40,CT,false,114,R,0,0,,0,
114,90,999,CC,false,113,A,0,0,,0,
114,56,56,F1,false,115,R,0,0,,0,
115,90,999,CC,false,113,A,0,0,,0,
115,66,66,F2,false,116,R,0,0,,0,
116,90,999,CC,false,113,A,0,0,,0,
116,76,76,F3,false,117,R,0,0,,0,
